Fantasy Grounds - Top-down Tokens - Heroic 3,,"29 Jan, 2015","Strategy, RPG, Indie, Fantasy, Dungeons & Dragons"
Raft,71023,"23 May, 2018","Survival, Open World Survival Craft, Multiplayer, Co-op, Crafting, Open World, Building, Base Building, Adventure, Online Co-Op, Sandbox, Early Access, First-Person, Singleplayer, Simulation, Underwater, Indie, Action, Strategy, Massively Multiplayer"
ARK: Survival Evolved,303863,"27 Aug, 2017","Open World Survival Craft, Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Early Access, Singleplayer, RPG, Dragons, Sci-fi, Indie"
Hell Let Loose,18869,"6 Jun, 2019","Action, Shooter, World War II, Multiplayer, Simulation, War, FPS, Realistic, Strategy, First-Person, Singleplayer, Indie, Military, Violent, Gore, Massively Multiplayer, Tanks, Early Access, Historical, Mature"
Beat Saber,39703,"21 May, 2019","VR, Rhythm, Music, Great Soundtrack, Indie, Fast-Paced, Singleplayer, Moddable, First-Person, Difficult, Swordplay, Action, Multiplayer, Sports, Memes, Futuristic, Early Access, Music-Based Procedural Generation, Anime, Casual"
Terraria,504857,"16 May, 2011","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Crafting, Building, Pixel Graphics, Exploration, Co-op, Open World, Indie, Online Co-Op, Action, RPG, Singleplayer, Platformer, Replay Value, Atmospheric"
Don't Starve Together,144129,"21 Apr, 2016","Survival, Open World Survival Craft, Multiplayer, Co-op, Open World, Adventure, Crafting, Online Co-Op, Sandbox, Difficult, Indie, 2D, Funny, Atmospheric, Survival Horror, Strategy, Singleplayer, Horror, Action, Simulation"
Space Engineers,71952,"28 Feb, 2019","Space, Sandbox, Building, Multiplayer, Open World Survival Craft, Simulation, Survival, Open World, Physics, Crafting, Destruction, Co-op, Indie, Futuristic, Sci-fi, Action, Singleplayer, Strategy, Adventure, Early Access"
Garry's Mod,532515,"29 Nov, 2006","Sandbox, Multiplayer, Funny, Moddable, Building, Comedy, Co-op, Mod, First-Person, Simulation, Physics, Online Co-Op, FPS, Singleplayer, Action, Shooter, Animation & Modeling, Indie, Massively Multiplayer, Adventure"
Bloons TD 6,39170,"17 Dec, 2018","Strategy, Tower Defense, Singleplayer, Co-op, Multiplayer, Online Co-Op, Family Friendly, Casual, 3D, Sandbox, Cartoony, Funny, Difficult, Great Soundtrack, Survival, Action, Cute, 2D, Indie, Adventure"
Brawlhalla,189158,"17 Oct, 2017","Free to Play, Multiplayer, Fighting, 2D, 2D Fighter, Action, Local Multiplayer, Platformer, Co-op, Controller, Online Co-Op, Local Co-Op, 4 Player Local, Beat 'em up, Indie, Singleplayer, Massively Multiplayer, Early Access, Survival, Adventure"
Risk of Rain 2,89188,"11 Aug, 2020","Third-Person Shooter, Action Roguelike, Multiplayer, Action, Roguelite, Co-op, Looter Shooter, Loot, Roguelike, Shooter, Online Co-Op, Survival, Difficult, Indie, Third Person, Singleplayer, Soundtrack, Early Access, Great Soundtrack, Bullet Hell"
Warhammer: Vermintide 2,44333,"8 Mar, 2018","Co-op, First-Person, Hack and Slash, Online Co-Op, Multiplayer, Gore, Dark Fantasy, Action, Violent, Fantasy, PvE, Games Workshop, Atmospheric, FPS, Action RPG, Singleplayer, Indie, Survival, Adventure, Open World"
Wolcen: Lords of Mayhem,53005,"13 Feb, 2020","RPG, Hack and Slash, Action RPG, Action, Multiplayer, Adventure, Indie, Isometric, Loot, Co-op, Character Customization, Early Access, Fantasy, Dungeon Crawler, Singleplayer, Medieval, Dark Fantasy, Top-Down, Controller, Difficult"
No Man's Sky,144106,"12 Aug, 2016","Open World, Open World Survival Craft, Space, Exploration, Sci-fi, Survival, Procedural Generation, First-Person, Adventure, Singleplayer, Sandbox, Atmospheric, Crafting, Space Sim, Multiplayer, Indie, Action, Simulation, FPS, Great Soundtrack"
Overcooked! 2,17321,"7 Aug, 2018","Multiplayer, Online Co-Op, Local Co-Op, Co-op, Casual, Funny, Indie, Action, 4 Player Local, Local Multiplayer, Family Friendly, Controller, Cute, Comedy, Singleplayer, Simulation, Difficult, Colorful, Strategy, Cooking"
Subnautica,133908,"23 Jan, 2018","Open World Survival Craft, Survival, Open World, Exploration, Underwater, Crafting, Base Building, Singleplayer, Horror, Adventure, First-Person, Sci-fi, Sandbox, Aliens, Atmospheric, Action, Early Access, Survival Horror, Indie, Multiplayer"
Grim Dawn,48201,"25 Feb, 2016","Action RPG, Dark Fantasy, Hack and Slash, RPG, Loot, Dungeon Crawler, Dark, Co-op, Multiplayer, Singleplayer, Fantasy, Action, Adventure, Isometric, Atmospheric, Post-apocalyptic, Indie, Zombies, Kickstarter, Crowdfunded"
ARK: Genesis Season Pass,2870,"8 Aug, 2019","Adventure, Massively Multiplayer, Action, RPG, Indie, Survival, Open World, Dinosaurs, Violent, Multiplayer, Base Building, Singleplayer, Crafting, Sandbox, Building, Sci-fi"
Assetto Corsa,29292,"19 Dec, 2014","Racing, Automobile Sim, Simulation, Driving, Realistic, Multiplayer, Sports, VR, Moddable, Physics, Controller, Singleplayer, Indie, First-Person, Open World, Replay Value, Action, 3D Vision, TrackIR, Artificial Intelligence"
Craftopia,8611,"4 Sep, 2020","Open World, Crafting, Survival, Multiplayer, Sandbox, Action, RPG, Early Access, Building, Adventure, Indie, Open World Survival Craft, Online Co-Op, Hack and Slash, Co-op, Anime, Character Customization, Automation, Singleplayer, Third Person"
Pavlov VR,15928,"27 Feb, 2017","VR, Action, Shooter, Multiplayer, FPS, Indie, Early Access, Violent, Gore, Military, First-Person, Funny, Memes, Competitive, Singleplayer, Zombies, Simulation, Psychological Horror"
Gunfire Reborn,24351,"22 May, 2020","FPS, Roguelite, Co-op, Multiplayer, Online Co-Op, Roguelike, Indie, Early Access, Adventure, Action, RPG, Shooter, Looter Shooter, Action Roguelike, First-Person, Dungeon Crawler, Replay Value, Singleplayer, Souls-like, Fast-Paced"
SCUM,37167,"29 Aug, 2018","Survival, Open World Survival Craft, Open World, Multiplayer, Zombies, Massively Multiplayer, Early Access, Action, Adventure, Crafting, Realistic, Nudity, Violent, FPS, Indie, Singleplayer, Third Person, PvP, Gore, RPG"
Scrap Mechanic,54493,"19 Jan, 2016","Building, Sandbox, Multiplayer, Open World, Physics, Early Access, Survival, Singleplayer, Co-op, First-Person, Funny, Simulation, Adventure, Crafting, Third Person, Action, Indie, Racing, Atmospheric, Great Soundtrack"
Untitled Goose Game,3493,"23 Sep, 2020","Funny, Indie, Villain Protagonist, Comedy, Stealth, Cute, Puzzle, Singleplayer, Co-op, Physics, Family Friendly, Multiplayer, Action, Colorful, Sandbox, Adventure, Third Person, Local Co-Op, Local Multiplayer, Simulation"
Outer Wilds,12414,"18 Jun, 2020","Space, Exploration, Mystery, Adventure, Puzzle, Story Rich, Atmospheric, Indie, Great Soundtrack, Open World, Singleplayer, Sci-fi, First-Person, Beautiful, Action, Simulation, Epic, Horror, 3D, Multiplayer"
Cuphead,56871,"29 Sep, 2017","Difficult, Cartoon, Platformer, Great Soundtrack, Co-op, Hand-drawn, Local Co-Op, 2D, Indie, Retro, Multiplayer, Cartoony, Action, Bullet Hell, Shoot 'Em Up, Side Scroller, Colorful, Singleplayer, Funny, Atmospheric"
Golf With Your Friends,25491,"19 May, 2020","Multiplayer, Casual, Mini Golf, Sports, Golf, Indie, Funny, Family Friendly, Early Access, Co-op, Singleplayer, Simulation, Great Soundtrack, Physics, Strategy, Difficult, Memes, Massively Multiplayer, Local Multiplayer, Action"
